,Expresión
295,seguir con ese escaparate al hombro
296,seguir con el escaparate al hombro
297,seguir con ese escaparate en el hombro
298,seguir con el escaparate en el lomo
299,seguir con ese escaparate al lomo
300,seguir con el escaparate al lomo
301,seguir con ese escaparate en el lomo
302,dar el escobazo del guaro
303,dar con la espuela
304,tener espuela
305,estar en algo
306,estar hecho
307,estar más de allá que de acá
308,estar más limpio que el rabo de un faro
309,hurgar el faro
310,tirar faros
311,florear el café
312,dar fresco
313,caerle frutero
314,dejar jalando el fuelle
315,dar furruco
316,salir con un furruco
317,correr gallos
318,jugar gallo guindado
319,levantar el pollo
320,levantar el gallo
321,mamar el gallo
322,mamar gallo
323,matar el gallo en la mano
324,tener un gallo embusacado
325,ganar de manos
326,ganarse la arepa
327,jugar garrote
328,jalar de gaza
329,abrir golilla
330,coger el golpe
331,dar el golpe
332,llevar en gorigori
333,guindar los guantes
334,colgar los guantes
335,calentar el guarapo
336,enfriarle el guarapo
337,enfriar el guarapo
338,estar entre fuerte y dulce como el guarapo
339,menear el guarapo
340,dar el escobazo del guaro
341,darse guate
342,meter el guayuco
343,guindar los guantes
344,colgar los guantes
345,coger el güire
346,coger el güiro
347,estar en el güiro
348,meterse en el güiro
349,mantenerse en el güiro
350,agarrarle el gusto
351,cogerle el gusto
352,comerse las últimas hallacas
353,jalar gaza
354,echar jareta
355,dar jareta
356,llevar jebe
357,aguantar jebe
358,mandar en jefe
359,meterle el judío
360,botar el juego
361,jugar gallo guindado
362,jugar garrote
363,jugar quiquiriguiqui
364,jugar sucio
365,jurungar el avispero
366,alborotar el avispero
367,jurungar los corotos
368,ladrar en la cueva
369,dar un lambe
370,soltar la lana
371,largar el forro
372,largar el pelero
373,estar pelando una lata
374,echar lava
375,echar lavativa
376,tener la lengua de cabecera
377,darse un lepe en la barriga
378,dejarse coger la leva
379,levantar el gallo
380,darse lija
381,irse liso y sin arrugas
382,andar viendo salivadas por locha
383,estar viendo salivadas por locha
384,hacer lomo a la carga
385,tener hecho el lomo a la carga
386,hablar más que loro en estaca
387,cortar la luz
388,apagar la luz
389,quitar la luz
390,comerse una luz
391,comerse la luz
392,pasar la llave
393,llegar al llegadero
394,llevarse quien lo trajo
395,llevar leña
396,llevarse el punto
397,cantar macuare
398,hacer macuare
399,pararle el macho
400,sacar la madre
401,mentar la madre
402,doblar el maguey
403,pandear el maguey
404,sacarle el agua al maguey
405,dejar sin un grano de maíz
406,echar maíz a las cotizas
407,mandar de ancho
408,mandar en jefe
409,caer como mango maduro
410,irse como mango maduro
411,despegarse como mango maduro
412,engrasar la mano
413,ganar de manos
414,pararse de mano
415,ser el trapito de la mantequilla
416,pasar la mar negra
417,estar en belén con la maraca
418,echar la marusa
419,echar marusa
420,aflojar la mascada
421,soltar la mascada
422,mascarmascar el agua
423,menear la mata
424,mover la mata
425,dar matarile
426,dar un mateo plaza
427,echar un mateo plaza
428,brincar matones
